unit, name, constructed_year, date, zip_code, sqft, bedroom, bathroom, price, has_den, has_balcony, has_bathtub, double_sink, stories
200, Hanover Tyson, 2022, 07/29/2022, 22102, 794, 1, 1, 2321, n, n, y, n, 6
100, Hanover Tyson, 2022, 07/29/2022, 22102, 794, 1, 1, 2367, n, n, y, n, 6
107, Hanover Tyson, 2022, 07/29/2022, 22102, 794, 1, 1, 2367, n, n, y, n, 6
202, Hanover Tyson, 2022, 07/29/2022, 22102, 735, 1, 1, 2335, n, n, y, n, 6
102, Hanover Tyson, 2022, 07/29/2022, 22102, 735, 1, 1, 2381, n, n, y, n, 6
105, Hanover Tyson, 2022, 07/29/2022, 22102, 735, 1, 1, 2381, n, n, y, n, 6
408, Hanover Tyson, 2022, 07/29/2022, 22102, 835, 1, 1, 2584, n, y, y, y, 6
434, Hanover Tyson, 2022, 07/29/2022, 22102, 835, 1, 1, 2584, n, y, y, y, 6
566, Hanover Tyson, 2022, 07/29/2022, 22102, 835, 1, 1, 2644, n, y, y, y, 6
166, Hanover Tyson, 2022, 07/29/2022, 22102, 835, 1, 1, 2649, n, y, y, y, 6
508, Hanover Tyson, 2022, 07/29/2022, 22102, 835, 1, 1, 2644, n, y, y, y, 6
274, Hanover Tyson, 2022, 07/29/2022, 22102, 799, 1, 1, 2598, n, n, y, y, 6
474, Hanover Tyson, 2022, 07/29/2022, 22102, 799, 1, 1, 2644, n, n, y, y, 6
636, Hanover Tyson, 2022, 07/29/2022, 22102, 799, 1, 1, 2676, n, n, y, y, 6
568, Hanover Tyson, 2022, 07/29/2022, 22102, 799, 1, 1, 2727, n, n, y, y, 6
2410, 8421 Broad, 2013, 07/29/2022, 22102, 731, 1, 1, 2554, n, n, y, n, 26
2012, 8421 Broad, 2013, 07/29/2022, 22102, 731, 1, 1, 2484, n, n, y, n, 26
2210, 8421 Broad, 2013, 07/29/2022, 22102, 731, 1, 1, 2389, n, n, y, n, 26
2017, 8421 Broad, 2013, 07/29/2022, 22102, 707, 1, 1, 2315, n, y, y, n, 26
1208, 8421 Broad, 2013, 07/29/2022, 22102, 707, 1, 1, 2265, n, y, y, n, 26
1615, 8421 Broad, 2013, 07/29/2022, 22102, 1163, 2, 2, 3420, n, y, y, n, 26
2901, Lumen, 2019, 07/29/2022, 22102, 490, s, 1, 2555, n, n, y, n, 32
801, Lumen, 2019, 07/29/2022, 22102, 490, s, 1, 2294, n, n, y, n, 32
905, Lumen, 2019, 07/29/2022, 22102, 761, 1, 1, 2600, n, n, n, n, 32
805, Lumen, 2019, 07/29/2022, 22102, 761, 1, 1, 2635, n, n, n, n, 32
1005, Lumen, 2019, 07/29/2022, 22102, 761, 1, 1, 2655, n, n, n, n, 32
3104, Lumen, 2019, 07/29/2022, 22102, 761, 1, 1, 3125, n, n, y, n, 32
3103, Lumen, 2019, 07/29/2022, 22102, 1027, 2, 2, 4012, n, n, y, n, 32
2803, Lumen, 2019, 07/29/2022, 22102, 1027, 2, 2, 3657, n, n, y, n, 32
2203, Lumen, 2019, 07/29/2022, 22102, 1027, 2, 2, 3547, n, n, y, n, 32
7414-2, The Commons of McLean, 1968, 07/29/2022, 22102, 815, 1, 1, 2035, n, y, y, n, 3
7430-5, The Commons of McLean, 1968, 07/29/2022, 22102, 1100, 2, 2, 2540, n, y, y, n, 3
7408-5, The Commons of McLean, 1968, 07/29/2022, 22102, 1100, 2, 2, 2440, n, y, y, n, 3
7422-4, The Commons of McLean, 1968, 07/29/2022, 22102, 1100, 2, 2, 2470, n, y, y, n, 3
1205, Rise and Bolden, 2019, 07/29/2022, 22102, 1305, 2, 2, 4080, y, n, y, y, 34
1015, Rise and Bolden, 2019, 07/29/2022, 22102, 1114, 2, 2, 3714, n, y, y, n, 34
, Rise and Bolden, 2019, 07/30/2022, 22102, 1350, 2, 2, 4445, y, n, y, y, 34
, Rise and Bolden, 2019, 07/30/2022, 22102, 648, 1, 1, 2307, n, n, y, y, 34
313, Rise and Bolden, 2019, 08/30/2022, 22102, 755, 1, 1, 2516, n, n, y, n, 34
1019, Rise and Bolden, 2019, 08/30/2022, 22102, 877, 1, 1, 2849, y, n, y, n, 34
1310, Rise and Bolden, 2019, 08/30/2022, 22102, 779, 1, 1, 2631, n, n, y, n, 34
